Price,Distance
9.85,70000
4,120000
3.31,170000
12.62,13000
18.58,160000
4.43,20000
3.85,110000
2.58,100000
1.35,200000
7.38,73000
2.14,120000
8.15,59000
2.85,200000
12.31,130000
8.38,57000
8.46,60000
6.92,83000
9.85,30000
23.08,10000
13.2,60000
6.15,120000
11.54,79000
7.23,70000
6.92,200000
0.92,120000
10.62,130000
8.92,46000
1.52,110000
5.85,130000
37.82,10000
4.46,180000
5.08,30000
8.46,126000
3.66,100000
2.77,110000
35.85,60000
6.74,90000
7.62,135000
2.62,150000
26.15,53000
2.58,90000
5.23,120000
10.31,130000
6.62,180000
10.46,30000
10.46,60000
4,220000
8.46,87000
13.54,28000
17.69,20000
6.62,52000
5.54,180000
3.38,92000
32.77,10000
33.23,29000
10.92,17000
7.38,160000
6.92,130000
4.46,86000
1.54,186000
8.92,100000
7.69,10000
35.38,20000
3.08,90000
8.92,10000
4.31,170000
4.62,150000
4.46,120000
6.77,57000
8.46,200000
5.38,10000
1.23,100000
6.92,50000
7.08,170000
7.85,76000
1.38,200000
34.28,30000
3,200000
12.12,80000
7.08,70000
10.95,86000
4.58,130000
5.54,90000
1.54,10000
16.92,36000
4.92,80000
15.38,10000
6.31,120000
7.08,50000
18.46,18000
11.23,32000
5.23,10000
16.15,33000
9.23,80000
7.69,170000
5.85,100000
3.38,180000
23.08,10000
11.38,200000
6.92,75000
8.62,120000
5.08,90000
5.38,140000
10.77,180000
1.15,200000
24,28000
3.08,11000
18.75,10000
3.08,160000
24.62,10000
6.46,90000
1.54,130000
4.92,10000
1.15,10000
6.46,140000
14.77,10000
4.62,90000
2.08,186000
6.92,120000
6.15,200000
5.38,10000
0.85,10000
5.38,90000
8.46,150000
3.54,170000
2.58,180000
7.69,10000
10.46,112000
12,53000
7.23,67000
8.46,130000
6.92,80000
0.77,200000
2.38,10000
21.54,70000
14.62,45000
0.54,150000
10.46,90000
6.92,140000
2.31,220000
5.2,120000
4,200000
12.77,30000
1.97,100000
16.92,100000
3.85,100000
2.58,150000
5.85,95000
4.23,150000
4.55,120000
